x, y
8.093525558936822, 38.094649703414355
8.147482390507628, 38.34979398750964
8.25539605364924, 38.58847686390818
8.327338221305011, 38.79423843195409
8.381295052875817, 38.98353859230324
8.417266548361658, 39.20576081452546
8.507194052102395, 39.41975308641975
8.669064546814813, 39.600822542920525
8.866906537013072, 39.77366204909337
9.118705358782137, 39.91358024691358
9.352518021150328, 40.028806333188655
9.658273674490198, 40.160493827160494
9.96402850451416, 40.30864197530864
10.215827326283225, 40.4320987654321
10.503596820222219, 40.522633493682484
10.881294641217863, 40.58847686390818
11.241007126128538, 40.522633493682484
11.618704947124181, 40.26748920958719
11.726618610265794, 40.08641975308642
11.798560777921566, 39.93827160493827
11.97841743203486, 39.50205711082176
12.086331095176472, 39.16460880232446
12.122301767346402, 38.95884723427855
12.158274086148154, 38.75308641975309
12.230215430488014, 38.48148148148148
12.266187749289767, 38.18518518518518
